                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                  1.151,                 1.1251,                0.98752,                0.78182,                0.81416,                0.89076,                0.59052,                 1.2712,                 1.0452,                0.96202,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.1349,                  1.016,                0.97206,                 0.8289,                0.82186,                0.90928,                0.62145,                 1.2449,                0.92831,                0.96707,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.2013,                0.92287,                0.95063,                0.88512,                0.81382,                0.91194,                0.63565,                  1.227,                0.90855,                0.95921,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.2184,                 1.0481,                0.99494,                0.90521,                 0.8282,                0.91327,                0.65709,                 1.1921,                0.93044,                0.94677,              0.0007075,              0.0007075,              0.0007075
                     53,                  1.055,                0.93932,                 0.9182,                0.90521,                 0.8282,                0.91327,                0.65709,                 1.1921,                0.93044,                0.94677,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.0807,                0.89908,                0.91897,                0.89176,                0.82265,                0.91139,                0.66705,                 1.1512,                0.90118,                0.93883,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.0153,                0.84823,                0.92228,                0.89391,                0.80995,                0.91335,                0.67367,                 1.1457,                0.84641,                0.93405,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.0891,                0.88219,                0.94754,                0.86979,                0.82289,                0.91305,                0.65419,                 1.1369,                0.81836,                0.93125,             0.00065091,             0.00065091,             0.00065091
                     57,                  1.039,                0.85145,                0.95652,                0.86979,                0.82289,                0.91305,                0.65419,                 1.1369,                0.81836,                0.93125,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.1656,                  0.898,                0.92454,                  0.881,                0.83099,                0.91572,                0.66291,                 1.1059,                0.85824,                0.91568,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.1094,                0.83541,                0.92201,                0.90176,                0.82299,                0.91805,                0.67265,                 1.0504,                0.88267,                0.90025,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.0534,                0.84489,                0.93803,                 0.9509,                0.77608,                0.91821,                0.67478,                 1.0875,                 0.8775,                0.90327,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.2289,                 0.9463,                0.93668,                 0.9509,                0.77608,                0.91821,                0.67478,                 1.0875,                 0.8775,                0.90327,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.0052,                 0.8106,                0.90679,                0.86709,                0.85497,                0.92406,                0.67005,                 1.1021,                0.81053,                0.90802,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.2613,                 1.0592,                 1.0125,                0.88369,                0.86694,                0.92907,                0.67789,                 1.0838,                0.82094,                0.90664,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.0452,                 0.7932,                0.89094,                0.89522,                0.88382,                0.93023,                0.68037,                 1.0201,                0.82934,                0.89925,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.2356,                0.98929,                 1.0569,                0.89522,                0.88382,                0.93023,                0.68037,                 1.0201,                0.82934,                0.89925,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.0713,                0.86119,                0.92684,                0.91144,                0.87744,                0.92684,                0.69287,                 1.0116,                0.81833,                0.90513,             0.00050944,             0.00050944,             0.00050944
                     67,                   1.02,                0.78945,                0.92049,                0.92877,                0.89219,                0.93622,                0.70341,                 0.9992,                0.83863,                0.89653,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.0809,                0.80558,                0.92097,                0.93597,                 0.8892,                0.93988,                0.70823,                 0.9718,                0.81434,                0.89043,             0.00048114,             0.00048114,             0.00048114
                     69,                0.97259,                0.87011,                0.94625,                0.93597,                 0.8892,                0.93988,                0.70823,                 0.9718,                0.81434,                0.89043,               0.000467,               0.000467,               0.000467
                     70,                 1.0846,                 0.8566,                0.94855,                0.93988,                0.88466,                0.94131,                0.70729,                 0.9409,                0.80081,                0.88807,             0.00045285,             0.00045285,             0.00045285
                     71,                0.94942,                0.76102,                0.90116,                0.91152,                0.88098,                0.94166,                0.70303,                0.96029,                0.75794,                0.88748,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.0232,                0.87893,                0.95739,                0.93586,                0.89174,                0.94366,                0.70434,                0.94932,                0.69345,                0.88322,             0.00042456,             0.00042456,             0.00042456
                     73,                0.99481,                0.77617,                0.92358,                0.93586,                0.89174,                0.94366,                0.70434,                0.94932,                0.69345,                0.88322,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.0608,                0.86917,                0.90807,                0.93842,                0.87676,                0.94441,                0.71553,                0.92618,                0.66554,                0.87695,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.0442,                0.86204,                0.96408,                0.91932,                0.87773,                0.94348,                 0.7195,                0.95542,                0.67226,                 0.8776,             0.00038211,             0.00038211,             0.00038211
                     76,                0.96058,                0.74904,                0.92679,                0.92818,                0.87486,                0.94307,                0.71272,                0.96393,                0.68807,                0.87982,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.0824,                0.85504,                0.89797,                0.92818,                0.87486,                0.94307,                0.71272,                0.96393,                0.68807,                0.87982,             0.00035382,             0.00035382,             0.00035382
                     78,                0.66845,                 4.4264,                0.60296,                0.93826,                 0.8709,                0.94428,                0.71701,                0.97797,                0.69414,                0.88003,             0.00033967,             0.00033967,             0.00033967
                     79,                0.92924,                0.75065,                0.87978,                0.93811,                0.87225,                0.94527,                0.72007,                0.97415,                0.67459,                 0.8802,             0.00032553,             0.00032553,             0.00032553
                     80,                0.85317,                0.76368,                0.89218,                0.96201,                0.87043,                 0.9464,                0.72448,                0.96432,                0.67253,                0.87996,             0.00031138,             0.00031138,             0.00031138
                     81,                 0.9032,                 0.7746,                0.88804,                0.96201,                0.87043,                 0.9464,                0.72448,                0.96432,                0.67253,                0.87996,             0.00029723,             0.00029723,             0.00029723
                     82,                0.92363,                0.71467,                0.90975,                0.96266,                 0.8654,                  0.948,                 0.7256,                0.92779,                0.64378,                0.87752,             0.00028308,             0.00028308,             0.00028308
                     83,                0.83324,                0.76774,                0.88273,                0.89763,                0.93881,                 0.9498,                0.74317,                0.87866,                0.61861,                0.87183,             0.00026894,             0.00026894,             0.00026894
                     84,                0.95071,                0.80457,                0.90276,                 0.9055,                0.93671,                0.95008,                0.74006,                0.87588,                0.61286,                0.87534,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.0356,                0.80528,                0.89575,                 0.9055,                0.93671,                0.95008,                0.74006,                0.87588,                0.61286,                0.87534,             0.00024064,             0.00024064,             0.00024064
                     86,                0.84474,                0.70634,                0.87025,                0.91753,                0.93671,                0.95017,                0.74268,                0.89493,                0.61417,                 0.8772,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.0493,                0.78384,                 0.9294,                0.91469,                0.93671,                0.95096,                0.74353,                0.90332,                0.60728,                0.87766,             0.00021235,             0.00021235,             0.00021235
                     88,                0.83867,                0.74892,                0.87908,                0.90652,                0.93933,                0.95239,                0.74013,                0.90962,                0.60361,                0.87719,              0.0001982,              0.0001982,              0.0001982
                     89,                0.92544,                0.75584,                0.87012,                0.90652,                0.93933,                0.95239,                0.74013,                0.90962,                0.60361,                0.87719,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.1597,                0.97046,                0.90165,                 0.9092,                0.94666,                0.95243,                0.74004,                0.90834,                0.60132,                0.87791,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.1026,                0.90536,                 1.0079,                0.91318,                0.94666,                0.95288,                0.73949,                0.89822,                0.61958,                0.87227,             0.00015576,             0.00015576,             0.00015576
                     92,                 1.0374,                 1.1381,                0.91446,                0.91485,                0.93629,                0.95285,                0.74257,                0.89555,                0.62809,                0.87138,             0.00014161,             0.00014161,             0.00014161
                     93,                0.84113,                0.87522,                0.84767,                0.91485,                0.93629,                0.95285,                0.74257,                0.89555,                0.62809,                0.87138,             0.00012747,             0.00012747,             0.00012747
                     94,                0.96925,                 1.1014,                0.86718,                0.90999,                0.91276,                0.95186,                0.73773,                0.88176,                0.63944,                0.86873,             0.00011332,             0.00011332,             0.00011332
                     95,                0.95522,                 1.1571,                0.89942,                0.91655,                0.90906,                0.95166,                0.74168,                0.87738,                0.65292,                0.86685,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 1.2441,                 1.0606,                0.95725,                0.93641,                0.89648,                0.95419,                0.73564,                0.87324,                0.65438,                0.86613,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 1.4887,                  1.343,                 1.0073,                0.93641,                0.89648,                0.95419,                0.73564,                0.87324,                0.65438,                0.86613,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 1.2066,                 1.2003,                0.94849,                0.93992,                0.88873,                0.95359,                0.73434,                0.88449,                 0.6482,                0.86698,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.82632,                0.76295,                0.83945,                0.94527,                0.88749,                0.95305,                0.73604,                0.89039,                0.64728,                0.86804,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.95753,                0.80494,                 0.9123,                 0.9429,                0.88984,                0.95284,                0.73604,                0.89676,                0.65203,                0.87121,             2.8437e-05,             2.8437e-05,             2.8437e-05
